route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
4651041c-6ad5-4a7d-a5d8-9e21432637d3,478a27db-1bf2-463e-9806-f038e89fc0ae,"05","RT05","Ashland Hopkinton",3,DC143C,000000
a4eb2bee-f334-4c9f-a912-3f4f61340f54,478a27db-1bf2-463e-9806-f038e89fc0ae,"15","RT15","Route 15- Hudson",3,DC143C,000000
a6664ebd-ebd9-4ca5-afa7-c0cad2df03d9,478a27db-1bf2-463e-9806-f038e89fc0ae,"04N","RT04N","Waverly St Natick Mall Shoppers World MetroWest Medical ",3,DC143C,000000
49301e4c-fb0b-4129-859d-7ef3e2c74bd5,478a27db-1bf2-463e-9806-f038e89fc0ae,"02","RT02","Natick Collection Shopper World Target Pinefield Nobscot Mass Bay Rose Kennedy Lane Metrowest Medical Center",3,DC143C,000000
e57a6102-dc34-42b5-97e4-9535ae68a6a6,478a27db-1bf2-463e-9806-f038e89fc0ae,"07","RT07",,3,DC143C,000000
dd835d0b-f53a-4662-9775-aa569e1bf68f,478a27db-1bf2-463e-9806-f038e89fc0ae,"11","RT11","Central Hub Sherwood Village Natick Collection Sherwood Plaza 9 27 Shopping Plaza Natick Common LMH Senior Center Coolidge Gardens Roche Bros",3,DC143C,000000
86779cf8-ca6a-4b72-bbfd-c8e23cdfff53,478a27db-1bf2-463e-9806-f038e89fc0ae,"NCS","MathWorks Natick Shuttle","MathWorks Natick Shuttle",3,DC143C,000000
e0054df4-1132-4d29-aadb-35b6fa894093,478a27db-1bf2-463e-9806-f038e89fc0ae,"07C","RT07C",,3,DC143C,000000
b03b5bc2-f28a-49e4-bf2f-f6ee4c31a986,478a27db-1bf2-463e-9806-f038e89fc0ae,"03","RT03","Medical Center",3,DC143C,000000
6dc6e716-c9b3-40bb-9794-b491404628c6,478a27db-1bf2-463e-9806-f038e89fc0ae,"04S","RT04S","Central Hub Beaver Park Market Basket Concord Howard Streets Natick Mall Shoppers World East Sherwood Plaza",3,DC143C,000000
92428b37-afe1-4376-ad2c-709f75194156,478a27db-1bf2-463e-9806-f038e89fc0ae,"10","RT10","Route 10",3,DC143C,000000
83fc539c-3177-4c4f-b354-1567304ed85c,478a27db-1bf2-463e-9806-f038e89fc0ae,"495C","495 Connector","Shuttle Connecting the Franklin MBTA to the South Acton MBTA Station",3,DC143C,000000
4e82c0c3-9330-45cb-a94a-9d7c2ae9cac4,478a27db-1bf2-463e-9806-f038e89fc0ae,"09","RT09","Natick Mall 9 90 Corporate Center",3,DC143C,000000
2b0deffd-0141-4363-befc-329e7dc8ec38,478a27db-1bf2-463e-9806-f038e89fc0ae,"MCS","Marlborough Commuter Shuttle","Marlborough Commuter Shuttle",3,DC143C,000000
72f825cd-605b-46d9-9da6-9e01e6ba65fe,478a27db-1bf2-463e-9806-f038e89fc0ae,"14","RT14","Route 14- Milford",3,DC143C,000000
cdf8622b-9165-45f6-adf9-55c089b1f2ed,478a27db-1bf2-463e-9806-f038e89fc0ae,"01","RT01","Woodland Green Line T",3,DC143C,000000
33469d61-3da8-4cad-a328-d0eb243dd1c6,478a27db-1bf2-463e-9806-f038e89fc0ae,"MWES","MathWorks Framingham Shuttle","MathWorks Framingham Shuttle",3,DC143C,000000
0b5f8dab-767f-4d3a-8b1c-d9682d03f408,478a27db-1bf2-463e-9806-f038e89fc0ae,"06","RT06","Central Hub Framingham MBTA Station Ashland Holliston Milford",3,DC143C,000000
